Merchant R-GB22 Khtukhao-hlai MCr162.7

Owner: Republic of Regina

Using a 700-ton hull, the Khtukhao-hlai clan transport is a large freight and passenger vessel used by clans and companies for service of major trade routes. It has “G”-class drives, giving the ship performance of jump-2 and 2-G acceleration. Fuel tankage of 139 tons supports one month of operations and allows one jump-2. Adjacent to the bridge is a Model/3 computer. There is an officer’s suite, eight crew staterooms (in two clusters), a gunner/security barracks, 24 passenger staterooms (in six clusters), and 30 low berths. There are six hardpoints; no weaponry is initially installed. A 95-ton shuttle (capable of transporting 20 passengers and 55 tons of cargo) is grappled as ship's vehicle. Cargo capacity is 100 tons, with 4 external grapples rated to carry 35-ton modules, up to a total of 140 external tons carried. The shuttle cargo bay is generally filled as well, adding another 60 tons of capacity. Maximum carrying capacity is 300 tons. The ship is a braced cluster of modular units, and is equipped with spare grapples for orbital docking. 

The transport requires a crew of seven: pilot, astrogator, three engineers, freight-master, and purser. Stewards must be added if nobles or high passengers are carried. A medic may be added if desired, and gunners can be added if the ship is armed. The ship can carry up to 24 passengers and thirty low passengers. The pilot operates the shuttle. 

Overtonnage: 33.5 tons
Crew comfort:     +0
Passenger demand: +0

[code]
   Tons	 Component                          	  MCr	Notes
-------	 -----------------------------------	-----	--------------------
    700	 Braced Hull, lifters, 7 a/l free   	   21	B, lifters, 7 a/l free
   -3.5	 No Landers                         	    0	
      0	 AV=30. 1 EMP Charged               	    0	
    126	 Jump Fuel (2  parsecs)             	    0	2 parsec jump, at 63t per parsec
   12.6	 Plant Fuel (one month)             	    0	one month
     20	 Mod Jump Drive G (R2)              	   20	R2
     11	 Mod PowerPlant G (R2)              	   11	R2
    6.5	 Mod Maneuver Drive G (R2)          	   13	R2
      2	 LR Ant Communicator                	  2.5	
      2	 LR Ant EMS                         	  2.5	
      2	 LR Ant Visor                       	  2.5	
      6	 6x AR T1 Empty                     	  1.2	#6 
      3	 Computer Model/3                   	 10.5	
      2	 Life Support Long Term             	    2	84 people
      1	 Life Support Adaptable             	    1	4 sophonts
      1	 Life Support Luxury                	    1	4 high passengers
      2	 Clinic                             	    1	
      4	 Security Barracks                  	  0.2	5 gunners
     14	 Spacious Bridge                    	  0.7	1cc 4op 2ws
     34	 2x Crew Cluster                    	  1.8	#2 4 + common + fresher
      6	 Officer Suite                      	  0.4	fresher + safe
     15	 30x Low Berth                      	    3	#30 1 passenger
    100	 Cargo Hold Basic                   	    0	
    140	 4x Cargo Module (Grappled)         	    0	#4 
    102	 6x Stateroom Cluster               	  5.4	#6 4 + common + fresher
     95	 Shuttle                            	   32	m3 3 K L2 +5
     30	 30x Grapple                        	   30	#30 1 pair per 35t
[/code]

[code]
[/code]

